,Origin,Occupation,Name,Game,Is tournament?,J! Score,DJ! Score,FJ! Score,Coryat score,Right Answers,Wrong Answers,Rebs,DDs,DD gain/loss,FJ!,FJ! gain/loss,Batting Average,Team Batting Average
0,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6840 aired 2014-05-16,1,6000,13600,599,13600,20,1,3,0/0,0,W,-13001,.345,.889
1,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6839 aired 2014-05-15,1,3200,12000,7000,12000,21,3,3,0/0,0,W,-5000,.362,.873
2,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6836 aired 2014-05-12,1,15000,18600,30401,21200,32,2,2,1/2,-1600,R,11801,.550,.794
3,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6834 aired 2014-05-08,1,6400,30200,40000,27000,32,3,1,1/2,4800,R,9800,.550,.857
4,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6809 aired 2014-04-03,1,10400,26800,23600,16200,24,3,2,2/2,12400,W,-3200,.400,.762
5,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6088 aired 2011-02-16,1,8600,18200,19200,15200,17,1,1,1/1,3600,R,1000,.305,.952
6,"Salt Lake City, Utah",software engineer ,Ken Jennings,#6087 aired 2011-02-15,1,2000,2400,4800,2400,9,3,1,0/0,0,R,2400,.172,.937
7,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4783 aired 2005-05-25,1,4600,9400,8599,7600,13,4,0,1/1,2400,W,-801,.220,.857
8,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4782 aired 2005-05-24,1,2400,11000,10000,10600,17,2,1,1/2,1600,W,-1000,.283,.746
9,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4781 aired 2005-05-23,1,8200,13000,16000,12800,23,4,1,1/1,1000,R,3000,.407,.889
10,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4657 aired 2004-11-30,0,10600,14400,8799,22400,29,4,0,1/3,-7200,W,-5601,.475,.746
11,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4656 aired 2004-11-29,0,9200,23200,29000,22600,27,1,3,1/1,1600,R,5800,.475,.841
12,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4655 aired 2004-11-26,0,12600,40800,31600,31600,38,3,3,2/2,11800,W,-9200,.633,.921
13,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4654 aired 2004-11-25,0,12600,38400,50000,29400,38,2,0,2/2,10800,R,11600,.650,.857
14,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4653 aired 2004-11-24,0,15000,44800,55099,36200,43,2,1,2/3,10600,R,10299,.721,.889
15,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4642 aired 2004-11-09,0,3200,26800,30000,24400,28,4,0,1/1,4000,R,3200,.492,.937
16,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4641 aired 2004-11-08,0,13000,24600,19200,28400,36,4,2,1/2,-3200,W,-5400,.600,.762
17,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4640 aired 2004-11-06,0,5000,27600,33201,26600,31,2,2,2/3,4600,R,5601,.525,.921
18,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4639 aired 2004-11-05,0,9600,42800,25600,36000,41,2,0,3/3,10200,W,-17200,.672,.873
19,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4638 aired 2004-11-04,0,10000,40000,50000,27200,36,2,3,2/2,15600,R,10000,.617,.857
20,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4637 aired 2004-11-03,0,11200,37600,45099,31800,37,1,1,3/3,10200,R,7499,.623,.889
21,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4636 aired 2004-11-01,0,7600,30800,26600,29600,36,3,2,2/3,4400,W,-4200,.590,.905
22,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4635 aired 2004-10-29,0,11000,25600,30000,26600,35,4,1,1/2,600,R,4400,.600,.889
23,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4634 aired 2004-10-28,0,5600,26600,30000,21200,32,5,2,1/2,6200,R,3400,.550,.857
24,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4633 aired 2004-10-27,0,9400,25200,34001,22200,32,4,0,1/1,5000,R,8801,.559,.968
25,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4632 aired 2004-10-26,0,5400,18200,25000,17400,25,5,2,2/2,4400,R,6800,.433,.714
26,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4631 aired 2004-10-25,0,10400,27200,30000,27800,33,2,1,1/2,400,R,2800,.567,.889
27,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4625 aired 2004-10-15,0,11200,34600,40000,29400,36,4,4,2/2,8000,R,5400,.617,.873
28,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4624 aired 2004-10-14,0,11300,24800,29900,22400,35,5,1,2/2,4400,R,5100,.600,.825
29,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4623 aired 2004-10-13,0,7800,28200,28300,23600,34,5,0,2/2,7600,R,100,.583,.889
30,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4622 aired 2004-10-12,0,6000,26000,35000,27200,35,5,2,1/2,400,R,9000,.600,.841
31,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4621 aired 2004-10-11,0,9600,26000,35000,26000,34,3,1,1/1,1000,R,9000,.593,.857
32,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4620 aired 2004-10-08,0,14000,45000,30000,36400,42,6,1,3/3,12400,W,-15000,.689,.873
33,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4619 aired 2004-10-07,0,9400,33600,40000,27800,36,3,0,2/2,8200,R,6400,.617,.905
34,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4618 aired 2004-10-06,0,14200,49200,38400,32600,41,2,1,3/3,20200,W,-10800,.672,.857
35,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4617 aired 2004-10-05,0,5200,28600,35038,28800,34,4,1,2/2,3000,R,6438,.583,.873
36,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4616 aired 2004-10-04,0,7600,19700,29601,17600,26,6,1,1/2,3700,R,9901,.450,.794
37,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4605 aired 2004-09-17,0,10200,38000,50000,35800,41,4,2,2/3,5000,R,12000,.689,.825
38,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4604 aired 2004-09-16,0,9000,23600,30000,20400,31,6,1,2/2,6000,R,6400,.533,.841
39,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4603 aired 2004-09-15,0,11400,43800,37600,37000,41,2,1,1/1,8400,W,-6200,.695,.857
40,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4602 aired 2004-09-14,0,11200,31000,40000,26800,39,4,0,2/2,7400,R,9000,.667,.873
41,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4601 aired 2004-09-13,0,16600,38800,45000,32200,41,2,2,2/2,9200,R,6200,.700,.905
42,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4600 aired 2004-09-10,0,13600,28600,30000,28600,34,3,0,2/3,2400,R,1400,.574,.889
43,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4599 aired 2004-09-09,0,8100,28400,21800,33400,42,5,0,1/3,-3400,W,-6600,.689,.905
44,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4598 aired 2004-09-08,0,16400,33600,27200,26400,40,5,0,2/2,9800,W,-6400,.667,.841
45,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4597 aired 2004-09-07,0,5800,28400,21800,25800,31,3,3,1/1,3800,W,-6600,.525,.905
46,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4596 aired 2004-09-06,0,13800,31600,10001,29600,38,3,1,2/3,3800,W,-21599,.623,.825
47,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4595 aired 2004-07-23,0,14400,51400,75000,37600,44,2,1,2/2,16200,R,23600,.750,.921
48,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4594 aired 2004-07-22,0,16000,42000,52000,30200,39,1,0,3/3,15200,R,10000,.656,.810
49,"Salt Lake City, Utah",software engineer ,Ken Jennings,#4593 aired 2004-07-21,0,14000,26800,30000,22600,40,5,2,2/2,7200,R,3200,.683,.921
